load1,load2,load3,load4,load5,load6,load7,label
1,4,2,20,11,0,0,C2
1,4,2,21,11,0,0,C2
1,4,2,20,11,0,0,C2
1,4,3,19,13,0,0,C2
1,3,4,18,13,0,0,C2
1,3,4,16,14,0,0,C2
0,3,3,17,12,0,0,C2
1,4,4,17,12,0,0,C2
1,4,5,16,12,0,0,C2
2,5,6,17,11,0,0,C2
2,5,6,17,11,0,0,C2
2,4,6,17,11,0,0,C2
1,5,6,16,10,0,0,C2
2,6,5,18,11,0,0,C2
1,5,6,17,13,0,0,C2
1,5,5,18,12,0,0,C2
2,5,6,18,12,0,0,C2
1,6,5,19,12,0,0,C2
1,5,5,18,12,0,0,C2
1,5,6,17,13,0,0,C2
1,4,5,17,13,0,0,C2
1,4,5,17,13,0,0,C2
1,4,5,17,13,0,0,C2
1,4,4,17,13,0,0,C2
0,3,3,17,13,0,0,C2
0,3,2,16,13,0,0,C2
1,3,4,17,13,0,0,C2
0,3,7,17,14,0,0,C2
0,3,6,18,13,0,0,C2
0,3,5,18,13,0,0,C2
0,3,5,18,13,0,0,C2
0,3,5,18,13,0,0,C2
0,3,5,18,13,0,0,C2
0,3,5,18,13,0,0,C2
0,3,4,18,13,0,0,C2
0,3,5,18,13,0,0,C2
0,3,4,18,14,0,0,C2
0,3,4,17,14,0,0,C2
0,3,5,17,14,0,0,C2
0,3,5,17,14,0,0,C2
0,3,5,17,14,0,0,C2
0,3,5,16,14,0,0,C2
0,3,5,17,15,0,0,C2
0,3,5,17,14,0,0,C2
0,3,4,17,14,0,0,C2
0,3,5,17,14,0,0,C2
0,3,5,17,14,0,0,C2
0,3,5,17,14,0,0,C2
0,3,4,18,14,0,0,C2
0,3,4,18,14,0,0,C2
0,3,4,18,14,0,0,C2
0,3,5,18,14,0,0,C2
0,3,6,17,14,0,0,C2
0,3,6,17,14,0,0,C2
0,3,6,17,14,0,0,C2
0,3,6,17,14,0,0,C2
0,3,6,17,14,0,0,C2
0,3,6,17,14,0,0,C2
0,3,6,17,14,0,0,C2
0,3,6,17,14,0,0,C2
0,3,6,17,14,0,0,C2
0,3,6,17,14,0,0,C2
0,3,6,17,14,0,0,C2
0,3,5,17,14,0,0,C2
0,3,5,17,14,0,0,C2
0,3,5,17,14,0,0,C2
0,4,5,18,13,0,0,C2
0,5,6,20,13,0,0,C2
0,4,5,18,13,0,0,C2
0,4,5,18,13,0,0,C2
0,4,6,18,13,0,0,C2
0,4,6,18,13,0,0,C2
0,4,5,18,13,0,0,C2
0,4,5,18,13,0,0,C2
0,4,5,18,13,0,0,C2
0,4,5,18,13,0,0,C2
0,4,5,18,13,0,0,C2
0,4,6,18,13,0,0,C2
0,4,6,18,13,0,0,C2
0,4,5,18,13,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,7,17,14,0,0,C2
0,3,7,17,14,0,0,C2
0,3,7,17,14,0,0,C2
0,3,7,17,14,0,0,C2
0,4,5,18,14,0,0,C2
0,4,5,18,14,0,0,C2
0,4,7,18,14,0,0,C2
0,3,6,21,14,0,0,C2
0,4,5,22,13,0,0,C2
0,6,4,22,13,0,0,C2
0,6,3,23,13,0,0,C2
0,6,3,22,13,0,0,C2
0,5,3,21,13,0,0,C2
0,5,4,19,13,0,0,C2
0,4,5,18,14,0,0,C2
0,4,6,17,14,0,0,C2
0,3,5,17,14,0,0,C2
0,3,5,18,14,0,0,C2
0,3,5,18,14,0,0,C2
0,3,5,18,14,0,0,C2
0,3,5,17,14,0,0,C2
0,3,5,16,14,0,0,C2
0,3,7,18,14,0,0,C2
0,4,7,18,15,0,0,C2
0,3,6,17,14,0,0,C2
0,3,5,18,14,0,0,C2
0,4,5,19,14,0,0,C2
0,4,4,19,14,0,0,C2
0,4,4,19,14,0,0,C2
0,4,5,18,14,0,0,C2
0,3,6,17,15,0,0,C2
0,3,5,18,14,0,0,C2
0,3,5,18,14,0,0,C2
0,3,4,18,14,0,0,C2
